,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
0,0,9.96065712,-0.217355028,-0.766120791,-0.098186389,-10.0,-0.040354606,-5.0,-0.12048491800000001,-13.0
3,3,9.97046852,-0.225877911,-0.753358245,-0.098111183,-10.0,-0.042113241,-5.0,-0.121124446,-13.0
4,4,9.9738245,-0.233531326,-0.748932481,-0.098084763,-10.0,-0.043263987000000004,-5.0,-0.12108466,-13.0
2,2,9.97555828,-0.216486648,-0.746980786,-0.098067954,-10.0,-0.04142106,-5.0,-0.122205094,-13.0
5,5,9.97602272,-0.246815711,-0.7459836009999999,-0.098061472,-10.0,-0.044973612,-5.0,-0.120603293,-13.0
1,1,9.9770813,-0.205270201,-0.745208144,-0.098053694,-10.0,-0.040238075,-5.0,-0.122985095,-13.0
13,13,9.98033714,-0.26271379,-0.740288556,-0.098020345,-10.0,-0.047151581,-5.0,-0.120216377,-13.0
9,9,9.98528194,-0.227742821,-0.734334171,-0.097989827,-10.0,-0.043487661,-5.0,-0.122682884,-13.0
12,12,9.985425,-0.24786761399999999,-0.733859301,-0.097989172,-10.0,-0.045833327,-5.0,-0.121603295,-13.0
8,8,9.98508358,-0.210292965,-0.734865665,-0.097988874,-10.0,-0.041446708,-5.0,-0.12360890199999999,-13.0
6,6,9.98721981,-0.196777925,-0.73233968,-0.097969309,-10.0,-0.040045064,-5.0,-0.12458281199999999,-13.0
11,11,9.9886198,-0.235495418,-0.729929149,-0.097963542,-10.0,-0.044648569000000006,-5.0,-0.122635767,-13.0
10,10,9.99106693,-0.22118693600000008,-0.727018535,-0.097941279,-10.0,-0.043179046,-5.0,-0.123687506,-13.0
20,20,9.99510765,-0.267621189,-0.721213043,-0.09790509900000001,-10.0,-0.048878785,-5.0,-0.121608824,-13.0
18,18,9.99732208,-0.237019658,-0.7187476159999999,-0.097892374,-10.0,-0.045505669000000006,-5.0,-0.123527884,-13.0
15,15,9.99810982,-0.207248792,-0.7182084320000001,-0.097881526,-10.0,-0.042111777,-5.0,-0.125234082,-13.0
19,19,9.99939156,-0.250794649,-0.715873599,-0.097877428,-10.0,-0.047266439,-5.0,-0.123011351,-13.0
17,17,10.0054989,-0.222105294,-0.70849508,-0.097823098,-10.0,-0.044413973,-5.0,-0.125254914,-13.0
26,26,10.007443400000001,-0.253562868,-0.705503821,-0.09781181800000001,-10.0,-0.04821723,-5.0,-0.123763204,-13.0
28,28,10.0081711,-0.266676605,-0.704383373,-0.09780585800000001,-10.0,-0.049795192,-5.0,-0.123130642,-13.0
25,25,10.0094328,-0.237244815,-0.7032103540000001,-0.097793043,-10.0,-0.046478774,-5.0,-0.124872997,-13.0
23,23,10.0170612,-0.226850152,-0.693592489,-0.097728968,-10.0,-0.045868624,-5.0,-0.12629269099999998,-13.0
27,27,10.0181713,-0.23946242,-0.6919689179999999,-0.097721756,-10.0,-0.047419325,-5.0,-0.125731692,-13.0
33,33,10.021169699999998,-0.256435931,-0.687853932,-0.097699702,-10.0,-0.049623903,-5.0,-0.125145346,-13.0
24,24,10.022816699999998,-0.222489834,-0.686280727,-0.097681105,-10.0,-0.045812476,-5.0,-0.127174601,-13.0
32,32,10.027503999999999,-0.239777982,-0.6799944040000001,-0.097645253,-10.0,-0.048185647000000005,-5.0,-0.126760453,-13.0
35,147780,10.0339699,-0.249961108,-0.671540499,-0.097593829,-10.0,-0.049873121,-5.0,-0.126931652,-13.0
31,31,10.0379143,-0.233035892,-0.666749895,-0.097558975,-10.0,-0.048217002,-5.0,-0.128293484,-13.0
34,34,10.0421257,-0.24318647399999999,-0.661187589,-0.097525969,-10.0,-0.049724462999999997,-5.0,-0.128213838,-13.0
14,14,10.0537081,-0.196463361,-0.714082718,-0.09144477599999999,-10.0,-0.041748948,-5.0,-0.127250582,-13.0
7,7,10.0589638,-0.178503141,-0.70761621,-0.091399819,-10.0,-0.040075772,-5.0,-0.128816381,-13.0
21,21,10.064119300000002,-0.204587013,-0.700597644,-0.091360882,-10.0,-0.043506067,-5.0,-0.127976149,-13.0
16,16,10.0652018,-0.18888562899999997,-0.6994594340000001,-0.09134952699999999,-10.0,-0.041768167,-5.0,-0.128950641,-13.0
29,29,10.0762177,-0.210493028,-0.6850002409999999,-0.091261402,-10.0,-0.045136843,-5.0,-0.129010126,-13.0
22,22,10.0771713,-0.197567701,-0.684002697,-0.091249853,-10.0,-0.043710083,-5.0,-0.129817918,-13.0
30,30,10.0797739,-0.21987947800000002,-0.68031019,-0.09123186800000001,-10.0,-0.046503365,-5.0,-0.12889716,-13.0
