,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
13,3242,10.0665054,0.561190426,0.26002866,-0.09763822,-10.0,0.13256523,13.0,0.063226774,6.0
7,7,10.0694122,0.54774946,0.273821473,-0.09763661,-10.0,0.131337151,13.0,0.06728806400000001,6.0
12,12,10.0685091,0.5536376239999999,0.26628979999999997,-0.097616643,-10.0,0.13233906,13.0,0.06535303599999999,6.0
11,11,10.0720739,0.5555813310000001,0.255193859,-0.097575367,-10.0,0.13397041,13.0,0.063473702,6.0
6,6,10.0825253,0.535848498,0.261104286,-0.097534806,-10.0,0.134377107,13.0,0.067375645,6.0
10,10,10.077522300000002,0.550855994,0.249249518,-0.097527564,-10.0,0.135420963,13.0,0.063405506,6.0
5,5,10.0851946,0.536342025,0.253675997,-0.097498655,-10.0,0.13569320699999998,13.0,0.066283293,6.0
9,9,10.0819788,0.549970448,0.240561813,-0.097488955,-10.0,0.136812121,13.0,0.062295478,6.0
4,4,10.088857699999998,0.535390556,0.246189535,-0.097457528,-10.0,0.137109116,13.0,0.065404981,6.0
8,8,10.086622199999999,0.549803674,0.230537832,-0.09744879599999999,-10.0,0.138313785,13.0,0.06087124400000001,6.0
2,2,10.095464699999999,0.521141171,0.253944278,-0.097428888,-10.0,0.136592299,13.0,0.068662286,6.0
3,3,10.0949879,0.5310492520000001,0.23821941,-0.097403422,-10.0,0.138821915,13.0,0.064981096,6.0
1,1,10.0995245,0.520229995,0.245183662,-0.097392619,-10.0,0.138232216,13.0,0.067599833,6.0
0,0,10.108040800000001,0.5019345279999999,0.24039197,-0.09727966800000001,-10.0,0.139891982,13.0,0.069701448,6.0
