,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
5,5,9.83832073,0.652521849,-0.6186716560000001,-0.098349594,-10.0,0.084814578,8.0,-0.081731714,-9.0
6,6,9.79068947,0.695230782,-0.66922015,-0.098129973,-10.0,0.080205739,8.0,-0.080398545,-9.0
7,7,9.8991785,0.631789982,-0.614901841,-0.096701063,-10.0,0.087036617,8.0,-0.083792061,-9.0
9,9,9.83717251,0.6948723790000001,-0.681404412,-0.096396126,-10.0,0.08144711,8.0,-0.081285976,-9.0
12,82589,9.83706093,0.6849952340000001,-0.689831674,-0.096125573,-10.0,0.080004565,8.0,-0.082925662,-9.0
4,4,9.89316082,0.7030539509999999,-0.679306746,-0.094847776,-10.0,0.08509764800000001,8.0,-0.08029712,-9.0
8,8,9.87384033,0.696709812,-0.697989821,-0.094806358,-10.0,0.081893727,8.0,-0.082219124,-9.0
11,11,9.88321018,0.6849702,-0.708660662,-0.09418910000000001,-10.0,0.080613427,8.0,-0.08421908300000001,-9.0
3,3,9.94571304,0.680532217,-0.669832289,-0.092904002,-10.0,0.08672691099999999,8.0,-0.082554482,-9.0
2,2,9.96741199,0.6352328660000001,-0.6213323470000001,-0.092815913,-10.0,0.088802017,8.0,-0.084822983,-9.0
1,1,9.945364,0.712995052,-0.6855820420000001,-0.092186861,-10.0,0.087073982,8.0,-0.080188014,-9.0
10,10,9.93489838,0.7017565370000001,-0.7302529809999999,-0.092011556,-10.0,0.08231912599999999,8.0,-0.083865494,-9.0
0,0,9.97682858,0.7081210609999999,-0.6732830409999999,-0.090116166,-10.0,0.088308275,8.0,-0.080765799,-9.0
