,u,v,w,x,x bin,y,y bin,z,z bin
0,7.23105049,-0.522992253,-1.8443892,-0.09677237300000001,-10.0,-0.010184713,-2.0,-0.040036481,-5.0
1,7.0853157000000015,-0.605570436,-2.1009798,-0.092808411,-10.0,-0.010497083,-2.0,-0.041129887,-5.0
2,7.39261103,-0.520288587,-1.76794267,-0.09736111800000001,-10.0,-0.012068609,-2.0,-0.041490372000000005,-5.0
3,7.61593533,-0.368796796,-1.6587894,-0.099341199,-10.0,-0.010596332,-2.0,-0.04426810900000002,-5.0
4,7.34346628,-0.6332085129999999,-2.29475546,-0.09016785,-10.0,-0.011220551,-2.0,-0.046711012999999996,-5.0
5,7.26736593,-0.753372431,-2.29080272,-0.090072408,-10.0,-0.013537644,-2.0,-0.045170553,-5.0
6,7.35243607,-0.7178091409999999,-1.92803812,-0.094776653,-10.0,-0.015661515,-2.0,-0.042191047,-5.0
7,7.49443674,-0.568644166,-2.11010122,-0.092421755,-10.0,-0.012152568,-2.0,-0.046915788,-5.0
8,7.47402525,-0.662019908,-2.06123376,-0.09285797900000001,-10.0,-0.014597483,-2.0,-0.045737575999999995,-5.0
9,7.78873158,-0.3774845,-1.881145,-0.095260307,-10.0,-0.011534372,-2.0,-0.049087528,-5.0
10,7.72877598,-0.498203367,-1.80506337,-0.096080557,-10.0,-0.014457548999999997,-2.0,-0.046919256,-5.0
11,7.76666737,-0.563372731,-1.58889592,-0.099440113,-10.0,-0.017248713,-2.0,-0.045072619,-5.0
12,7.59192324,-0.730739892,-2.00341415,-0.093133219,-10.0,-0.017783029,-2.0,-0.046552733,-5.0
13,7.90880346,-0.417906761,-1.7756299999999998,-0.096225798,-10.0,-0.014334545,-2.0,-0.049444921,-5.0
94623,7.86449432,-0.507030368,-1.68986809,-0.09751507599999999,-10.0,-0.016477237,-2.0,-0.047636963,-5.0
