,u,v,w,x,x bin,y,y bin,z,z bin
0,8.39082623,-1.93100059,0.257650524,-0.095647082,-10.0,-0.062624708,-7.0,0.008488741,0.0
1,8.46769142,-1.98165071,0.254951119,-0.094586134,-10.0,-0.064601533,-7.0,0.008306486,0.0
2,8.32031441,-2.21317601,0.074427187,-0.090576664,-10.0,-0.06079736700000001,-7.0,0.002803522,0.0
3,8.34052086,-1.85514593,0.124979429,-0.09746032199999999,-10.0,-0.061247385999999994,-7.0,0.005306976,0.0
4,8.446545599999999,-2.05160046,0.132676691,-0.09349443,-10.0,-0.06401342900000001,-7.0,0.004925957,0.0
5,8.50327778,-1.97604311,0.086820312,-0.095014855,-10.0,-0.065419242,-7.0,0.004044549000000001,0.0
6,8.53836346,-1.89792228,0.077924058,-0.096528836,-10.0,-0.066290923,-7.0,0.004102665,0.0
7,8.36233139,-2.04293323,0.018151447,-0.09398715199999999,-10.0,-0.061796594,-7.0,0.001960308,0.0
8,8.44761086,-1.9206301,-0.019858941,-0.096378438,-10.0,-0.063924208,-7.0,0.001456474,0.0
90602,8.53125572,-2.01297474,-0.051308245,-0.094555035,-10.0,-0.066069737,-7.0,0.00040370099999999996,0.0
