,u,v,w,x,x bin,y,y bin,z,z bin
0,8.25113297,2.22973251,0.022106066,-0.093131244,-10.0,0.06249373,6.0,-0.000997174,-1.0
1,8.20810127,2.15909553,-0.012915676999999999,-0.095495515,-10.0,0.060866348,6.0,-0.002570424,-1.0
2,8.43030548,1.91758919,-0.05383414,-0.097819716,-10.0,0.063153729,6.0,-0.004119653,-1.0
3,8.2779665,2.22240114,-0.051542557999999995,-0.093330495,-10.0,0.063001156,6.0,-0.00396979,-1.0
4,8.15046883,2.12847233,-0.105298758,-0.095574796,-10.0,0.060560994000000014,6.0,-0.00574206,-1.0
5,8.46265793,2.009969,-0.123219438,-0.095676065,-10.0,0.064826042,6.0,-0.006786336,-1.0
6,8.36774254,1.86651564,-0.117935404,-0.099093899,-10.0,0.062007077,6.0,-0.0064784280000000005,-1.0
7,8.11064339,2.09985113,-0.14665401,-0.09580671,-10.0,0.060181390999999994,6.0,-0.007076209,-1.0
8,8.66485786,1.81008542,-0.094013542,-0.097175017,-10.0,0.068094805,6.0,-0.005201168,-1.0
9,8.61349678,1.76206493,-0.12562947,-0.099366389,-10.0,0.066846669,6.0,-0.006569603,-1.0
10,8.54986954,1.78745806,-0.14667080300000002,-0.099602088,-10.0,0.064833529,6.0,-0.007737875999999999,-1.0
11,8.38073063,1.91482329,-0.150861517,-0.098336749,-10.0,0.062593237,6.0,-0.007864356,-1.0
12,8.08937359,2.44520664,-0.17009244899999998,-0.091093719,-10.0,0.06173590900000001,6.0,-0.008617020999999999,-1.0
13,8.71758461,1.86088264,-0.15409231199999998,-0.095341638,-10.0,0.069056496,6.0,-0.0076644090000000005,-1.0
14,8.66429329,1.81590199,-0.186119959,-0.097475141,-10.0,0.067733958,6.0,-0.009064966,-1.0
59809,8.29210854,1.8013587,-0.21860294,-0.099940628,-10.0,0.060179263,6.0,-0.009661018,-1.0
