,u,v,w,x,x bin,y,y bin,z,z bin
0,9.79659653,1.0865941,0.524477065,-0.091875494,-10.0,0.097177148,9.0,0.047424037,4.0
1,9.67460823,1.0293988,0.537176192,-0.09765324,-10.0,0.09231824400000001,9.0,0.048150264000000005,4.0
2,9.76950836,1.08884478,0.507313728,-0.093430698,-10.0,0.097094074,9.0,0.045666833,4.0
3,9.78311443,1.1350683000000001,0.526514113,-0.090657741,-10.0,0.096323706,9.0,0.045479275,4.0
4,9.74911594,1.11741638,0.5404740570000001,-0.092547402,-10.0,0.094854683,9.0,0.046615347,4.0
5,9.64684677,1.03607094,0.5183886289999999,-0.09860085,-10.0,0.09189377,9.0,0.045961025999999995,4.0
6,9.67132282,1.11154664,0.571833313,-0.094517529,-10.0,0.090494163,9.0,0.047553886,4.0
7,9.76920986,1.10041261,0.487781584,-0.093411699,-10.0,0.097794958,9.0,0.043797392000000004,4.0
8,9.76227379,1.1442466999999998,0.520877421,-0.091680363,-10.0,0.096048489,9.0,0.044424124,4.0
9,9.72872925,1.09717655,0.478983879,-0.094882511,-10.0,0.096505113,9.0,0.042452212,4.0
10,9.66209316,1.11851907,0.544286311,-0.095053524,-10.0,0.091163188,9.0,0.045087628,4.0
11,9.73005295,1.13440704,0.516558051,-0.092994131,-10.0,0.094940901,9.0,0.043841302,4.0
12,9.78752613,1.13016534,0.459191769,-0.091435537,-10.0,0.098849289,9.0,0.040708046,4.0
13,9.69469929,1.12633204,0.510061622,-0.094425745,-10.0,0.093789913,9.0,0.04294956900000002,4.0
14,9.71919727,1.13745117,0.4713503120000001,-0.094013758,-10.0,0.096248105,9.0,0.040194735,4.0
15,9.70503044,1.15465689,0.49090057600000003,-0.093545735,-10.0,0.094839133,9.0,0.040696953,4.0
16,9.65727425,1.12062287,0.501315057,-0.095883176,-10.0,0.092632569,9.0,0.041762546,4.0
15718,9.610336300000002,1.10305679,0.496520787,-0.09793569199999999,-10.0,0.090983607,9.0,0.041115094,4.0
