,Unnamed: 0,Unnamed: 0.1,u,v,w,x,x bin,y,y bin,z,z bin
0,8,8,6.2222867,-1.40925407,-0.842696786,0,-10.0,-0.027177563,-3.0,-0.016489107,-2.0
1,3,3,5.86100006,-1.39434981,-0.676147759,0,-10.0,-0.024307378,-3.0,-0.01148515,-2.0
2,2,2,5.77948713,-1.28740501,-0.703278065,0,-10.0,-0.022110669,-3.0,-0.011927968,-2.0
3,1,1,5.70110416,-1.25828159,-0.762458205,0,-10.0,-0.021055359,-3.0,-0.012982398,-2.0
4,6,6,5.8505125,-1.51135802,-0.721705556,0,-10.0,-0.026849736000000003,-3.0,-0.011996038,-2.0
5,10,92629,6.19108725,-1.5401715,-0.931830943,0,-10.0,-0.029837753999999998,-3.0,-0.01841769,-2.0
6,7,7,5.85074902,-1.43399179,-1.02289712,0,-10.0,-0.024340542000000003,-3.0,-0.019351116,-2.0
7,0,0,5.54461098,-1.35312533,-0.930764437,0,-10.0,-0.021099765,-3.0,-0.016119033,-2.0
8,4,4,5.58540392,-1.45699811,-0.9203281999999999,0,-10.0,-0.022970792,-3.0,-0.015983477,-2.0
9,5,5,5.63774967,-1.5263536,-0.86129719,0,-10.0,-0.025205927000000003,-3.0,-0.014917701,-2.0
10,9,9,6.00451422,-1.5527966,-0.979130149,0,-10.0,-0.028668739,-3.0,-0.019784454,-2.0
