,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
0,0,10.219435699999998,0.309223294,0.055132512,0.104605645,10.0,-0.130013511,-14.0,-0.00513471,-1.0
1,1,10.2189369,0.292830139,0.059719395,0.105045877,10.0,-0.130154759,-14.0,-0.008420587,-1.0
7,7,10.225935,0.268404245,0.056952745,0.105198249,10.0,-0.135900214,-14.0,-0.008568539,-1.0
5,5,10.2277002,0.266390502,0.055097573,0.105264001,10.0,-0.137283817,-14.0,-0.006444328,-1.0
3,3,10.2247534,0.277095735,0.051748116,0.105310552,10.0,-0.136722296,-14.0,-0.004082647,-1.0
4,4,10.225419,0.274765164,0.046848029000000006,0.105816163,10.0,-0.139313266,-14.0,-0.001255965,-1.0
6,6,10.2246714,0.26076898,0.052213039,0.107117824,10.0,-0.139416426,-14.0,-0.005036891,-1.0
8,8,10.2213469,0.263727009,0.054107025,0.107250154,10.0,-0.137813672,-14.0,-0.007798233000000002,-1.0
9,136636,10.2223854,0.25991177600000004,0.0524836,0.107293323,10.0,-0.139196798,-14.0,-0.007807791999999998,-1.0
2,2,10.2144289,0.27876702,0.04878553,0.109071106,10.0,-0.137379736,-14.0,-0.000834366,-1.0
