,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
6,6,10.2799339,-0.13614031699999998,0.397538483,0.105223648,10.0,0.057700555999999986,5.0,-0.142834216,-15.0
5,5,10.2814837,-0.131275654,0.381785631,0.105331093,10.0,0.058262880999999996,5.0,-0.14444758,-15.0
9,9,10.2825518,-0.121394888,0.37853866799999997,0.105353929,10.0,0.056714952,5.0,-0.14571169,-15.0
0,0,10.2815723,-0.124370486,0.370678723,0.105356798,10.0,0.059106629,5.0,-0.146553442,-15.0
8,8,10.2829361,-0.113387495,0.369439453,0.105379388,10.0,0.056869663,5.0,-0.147630781,-15.0
7,7,10.2825594,-0.111086443,0.360663325,0.10540026400000001,10.0,0.058257412,5.0,-0.149033785,-15.0
4,4,10.2623072,-0.119305782,0.440045178,0.108694911,10.0,0.05023057,5.0,-0.14033341400000002,-15.0
2,2,10.2631807,-0.129247099,0.430535376,0.108705111,10.0,0.053241443,5.0,-0.140548855,-15.0
3,3,10.2633867,-0.124111988,0.432050735,0.108708866,10.0,0.051973835,5.0,-0.14078103,-15.0
1,1,10.2645493,-0.130211964,0.41299957,0.108733445,10.0,0.055200309,5.0,-0.141765699,-15.0
11,11,10.2654257,-0.11152380699999999,0.42237582799999995,0.108742401,10.0,0.050142705,5.0,-0.14243862,-15.0
10,10,10.2657175,-0.123333484,0.409890443,0.108750015,10.0,0.053951416,5.0,-0.142570287,-15.0
12,12,10.2669048,-0.11655736,0.406400323,0.108767077,10.0,0.052763514,5.0,-0.143394515,-15.0
13,13,10.2677383,-0.11818593699999999,0.394122094,0.108785287,10.0,0.054350853,5.0,-0.144166932,-15.0
16,16,10.2683496,-0.107617907,0.403249085,0.108786695,10.0,0.051052094000000006,5.0,-0.144374415,-15.0
20,20,10.2702341,-0.10003081,0.392854422,0.108816467,10.0,0.050365790999999986,5.0,-0.145777285,-15.0
17,17,10.2703381,-0.10511021300000001,0.381836444,0.10882523699999999,10.0,0.052736912000000004,5.0,-0.146237537,-15.0
21,21,10.2711143,-0.099471435,0.382054865,0.10883335,10.0,0.051401872,5.0,-0.146672696,-15.0
22,131437,10.2718153,-0.0911754,0.3768408,0.108857371,10.0,0.050644539,5.0,-0.148077965,-15.0
19,19,10.271403300000001,-0.090495095,0.370488524,0.10887283099999999,10.0,0.051874183,5.0,-0.14901197,-15.0
15,15,10.2689629,-0.10894960199999999,0.375317395,0.10891471800000001,10.0,0.055045527000000004,5.0,-0.146813139,-15.0
14,14,10.2696934,-0.101460017,0.37187469,0.108934738,10.0,0.054086275,5.0,-0.147906929,-15.0
18,18,10.270793,-0.08927542,0.364837945,0.108964257,10.0,0.052837912,5.0,-0.149885476,-15.0
