,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
8,8,10.263279,-0.248299003,-0.542974174,0.101631775,10.0,0.051315274,5.0,0.11288432,11.0
9,9,10.243274699999999,-0.23749604800000002,-0.528051436,0.10542049999999999,10.0,0.05125518900000001,5.0,0.114443146,11.0
7,7,10.238039,-0.218267947,-0.498963714,0.105476253,10.0,0.051481402999999995,5.0,0.11815922,11.0
0,0,10.2216349,-0.266936541,-0.542665362,0.10740599,10.0,0.054879043,5.0,0.110669203,11.0
4,4,10.2276945,-0.23462832,-0.516408741,0.107854053,10.0,0.052294411,5.0,0.115358554,11.0
3,3,10.229013400000001,-0.246362522,-0.532789171,0.10804642,10.0,0.05234072,5.0,0.113171235,11.0
2,2,10.2177601,-0.235058665,-0.5041674970000001,0.108328,10.0,0.0542216,5.0,0.116414778,11.0
5,5,10.220068,-0.225985155,-0.50069952,0.10873758,10.0,0.052758377,5.0,0.11716009699999999,11.0
6,6,10.2265663,-0.207237303,-0.490470111,0.109153919,10.0,0.050603759000000005,5.0,0.119532786,11.0
10,17356,10.2288733,-0.225874647,-0.518173575,0.109713115,10.0,0.050460544,5.0,0.115930162,11.0
1,1,10.213761300000002,-0.24740058199999998,-0.5229698420000001,0.109909929,10.0,0.053860106,5.0,0.113640033,11.0
