,u,v,w,x,x bin,y,y bin,z,z bin
0,10.0846109,0.8287765979999999,-0.744627595,0.10172461,10.0,-0.062019587,-7.0,0.074812084,7.0
1,10.0347862,0.9058456420000001,-0.645424366,0.10699047099999999,10.0,-0.06750179099999999,-7.0,0.070174456,7.0
2,10.064245199999998,0.850055456,-0.71441412,0.104008965,10.0,-0.063712098,-7.0,0.073425017,7.0
3,10.0838871,0.909339905,-0.618952572,0.10105782,10.0,-0.069696665,-7.0,0.071087241,7.0
4,10.0297127,0.8501703740000001,-0.63095969,0.109709762,10.0,-0.067082331,-7.0,0.071641177,7.0
5,10.1316795,0.689247012,-0.654786766,0.102491803,10.0,-0.063970551,-7.0,0.078925908,7.0
6,10.0691061,0.729342878,-0.6026415820000001,0.109704256,10.0,-0.065790817,-7.0,0.075450204,7.0
7,10.117074,0.70909965,-0.624500632,0.10421636699999999,10.0,-0.065838359,-7.0,0.077742398,7.0
8,10.0996494,0.766800404,-0.5998560789999999,0.10468483,10.0,-0.068772629,-7.0,0.075749151,7.0
88714,10.1276588,0.6574769020000001,-0.607162237,0.105167113,10.0,-0.06528545200000001,-7.0,0.07907287,7.0
