,u,v,w,x,x bin,y,y bin,z,z bin
0,10.237741499999998,-0.338880628,-0.508307934,0.101604365,10.0,0.069568865,6.0,0.100951001,10.0
1,10.230333300000002,-0.29382804,-0.480998904,0.107364982,10.0,0.069745392,6.0,0.10487694300000001,10.0
2,10.2150917,-0.311192304,-0.507314384,0.106496379,10.0,0.067593955,6.0,0.10200347,10.0
3,10.2305975,-0.284176826,-0.477021277,0.108729243,10.0,0.06920816,6.0,0.106650226,10.0
4,10.2350349,-0.298694491,-0.494036883,0.1054499,10.0,0.068496302,6.0,0.104651079,10.0
5,10.2070189,-0.315038323,-0.51970613,0.10709645599999999,10.0,0.065991879,6.0,0.10181780900000001,10.0
6,10.2364855,-0.281006813,-0.480610609,0.106681287,10.0,0.068673946,6.0,0.108291708,10.0
7,10.2286921,-0.292524546,-0.4985708,0.107103936,10.0,0.06699899599999999,6.0,0.10586533699999999,10.0
8,10.2488155,-0.321920663,-0.525495708,0.101398505,10.0,0.066163927,6.0,0.103806496,10.0
9,10.219168699999999,-0.27202493,-0.476755321,0.109726608,10.0,0.068071045,6.0,0.10980951800000001,10.0
10,10.2135372,-0.317661315,-0.528508425,0.105926439,10.0,0.06474684900000001,6.0,0.102819018,10.0
11,10.2347727,-0.286697865,-0.498603165,0.10606368599999999,10.0,0.066576704,6.0,0.107631542,10.0
12,10.2333403,-0.297313333,-0.5112560389999999,0.105221793,10.0,0.065791339,6.0,0.105637349,10.0
13,10.225530599999999,-0.279098243,-0.49603653,0.107213028,10.0,0.06616063400000001,6.0,0.109383047,10.0
14,10.2506418,-0.316583693,-0.543758929,0.1014603,10.0,0.063466072,6.0,0.104734935,10.0
15,10.2554054,-0.290947855,-0.510948718,0.102072455,10.0,0.065563805,6.0,0.107591979,10.0
16,10.2126722,-0.329999864,-0.560816109,0.104670495,10.0,0.060816646,6.0,0.103336498,10.0
17,10.2297249,-0.294287294,-0.524814963,0.105675355,10.0,0.063387893,6.0,0.10670904099999999,10.0
18,10.2441397,-0.285740286,-0.521064758,0.102862328,10.0,0.063126244,6.0,0.108766071,10.0
19,10.253620100000001,-0.31149610899999997,-0.561875165,0.101372533,10.0,0.060851064,6.0,0.105640225,10.0
20,10.2246523,-0.291703939,-0.530439675,0.105968684,10.0,0.062128875,6.0,0.1073585,10.0
13157,10.2560129,-0.291298479,-0.545166612,0.10056407,10.0,0.060772989000000006,6.0,0.108869083,10.0
