,u,v,w,x,x bin,y,y bin,z,z bin
0,10.1374245,-1.30017292,0.32793563600000003,0.105906092,10.0,0.07975436,7.0,-0.033208221,-4.0
1,10.1108494,-1.35297751,0.294454575,0.107292339,10.0,0.077830277,7.0,-0.030725177000000006,-4.0
2,10.165813400000001,-1.309919,0.383687079,0.10374333,10.0,0.079229705,7.0,-0.034946393,-4.0
3,10.0897274,-1.3508445,0.31293633600000004,0.109930113,10.0,0.07595648599999999,7.0,-0.03136377,-4.0
4,10.116901400000001,-1.26264989,0.39293623,0.10967440199999999,10.0,0.077435806,7.0,-0.03663354,-4.0
5,10.122195199999998,-1.31337619,0.3905349970000001,0.106893271,10.0,0.077666,7.0,-0.035397846000000004,-4.0
6,10.099490199999998,-1.33957255,0.45047456,0.108485945,10.0,0.074793048,7.0,-0.03722354,-4.0
7,10.1053963,-1.41575527,0.484012872,0.104921125,10.0,0.074043781,7.0,-0.036412414,-4.0
8,10.106672300000001,-1.47769201,0.49763190700000004,0.10265099300000001,10.0,0.073238477,7.0,-0.035275366,-4.0
9,10.0555096,-1.49967277,0.56705308,0.105239227,10.0,0.070064627,7.0,-0.03751909,-4.0
10,10.109684,-1.54983258,0.584911823,0.100458845,10.0,0.070528686,7.0,-0.036738992000000005,-4.0
11,10.072649,-1.55667436,0.507521391,0.102021858,10.0,0.071475335,7.0,-0.033748385,-4.0
61880,10.0531597,-1.59556007,0.48722893,0.101876281,10.0,0.07101330900000001,7.0,-0.032040387000000004,-4.0
