,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
9,38262,9.92712688,0.050772894000000006,-0.418476939,0.183596551,18.0,0.001885957,0.0,0.098615393,9.0
7,7,9.91847515,0.050515756,-0.439652681,0.180980071,18.0,0.002853925,0.0,0.096508153,9.0
8,8,9.94127369,0.042796977,-0.42522192,0.181720555,18.0,0.002912427,0.0,0.099072471,9.0
4,4,9.86750603,0.064628169,-0.45819151399999997,0.181215018,18.0,0.002948935,0.0,0.09132751800000001,9.0
5,5,9.87877846,0.05582498,-0.4396941070000001,0.18311874600000005,18.0,0.003641457,0.0,0.092853993,9.0
6,6,9.940458300000001,0.036627833,-0.415953875,0.183336958,18.0,0.004304051,0.0,0.098790854,9.0
2,2,9.90785885,0.042480536,-0.443728238,0.180872902,18.0,0.005075351,0.0,0.09449990800000001,9.0
3,3,9.90729904,0.039451562,-0.395248324,0.189289033,18.0,0.006127081,0.0,0.095973276,9.0
1,1,9.95258427,0.017096963,-0.425299406,0.180820882,18.0,0.007529045,0.0,0.098088481,9.0
0,0,9.96832085,0.00789158,-0.391018808,0.186761454,18.0,0.009981249000000001,0.0,0.099582925,9.0
