,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
2,2,11.2283745,0.234402373,1.70597482,0.02364978,2.0,0.000851932,0.0,-0.080852792,-9.0
4,4,11.450730300000002,0.229073465,1.51477861,0.02180453,2.0,0.0012012519999999999,0.0,-0.083804041,-9.0
5,5,11.6269035,0.235821903,1.46588635,0.021797694,2.0,0.0021052,0.0,-0.08628145599999999,-9.0
0,0,11.304407099999999,0.187868848,1.54040909,0.02132342,2.0,0.002208433,0.0,-0.080144242,-9.0
8,8,11.6192427,0.227072403,1.5611793999999999,0.024972623,2.0,0.00257565,0.0,-0.088838965,-9.0
6,6,11.538222300000001,0.193527237,1.69718361,0.025533985,2.0,0.003143095,0.0,-0.087234996,-9.0
1,1,11.2540121,0.15149447300000002,1.95340919,0.026281674,2.0,0.003589841,0.0,-0.081626684,-9.0
3,3,11.4669189,0.084635764,1.87016773,0.027247522000000003,2.0,0.005984993,0.0,-0.086024009,-9.0
7,7,11.887434,0.07431826700000001,1.39289463,0.021142906,2.0,0.007018852,0.0,-0.088943988,-9.0
9,96766,11.7593851,0.049755145,1.5393343000000002,0.024433285,2.0,0.00776614,0.0,-0.08910503199999999,-9.0
