,u,v,w,x,x bin,y,y bin,z,z bin
0,8.49894619,0.154898316,0.390181094,-0.139198288,-14.0,0.009221599,0.0,0.027026305,2.0
1,8.41437435,0.15193831900000002,0.372020066,-0.13810721,-14.0,0.008300864,0.0,0.023290426,2.0
2,8.30078888,0.146730587,0.394279301,-0.135183305,-14.0,0.0073136780000000005,0.0,0.022306053,2.0
3,8.28528595,0.072769478,0.494660169,-0.132429138,-14.0,0.002899282,0.0,0.027562311000000003,2.0
4,8.26972675,0.130675033,0.377155453,-0.13454598199999998,-14.0,0.006237478,0.0,0.021171415,2.0
5,8.32753944,0.058473803,0.437953144,-0.135027334,-14.0,0.002388913,0.0,0.025137777000000004,2.0
6,8.30754757,0.019650694,0.481539875,-0.133070558,-14.0,0.00019029099999999998,0.0,0.026979448,2.0
7,8.34957123,0.062564984,0.359836221,-0.13792263,-14.0,0.003058634,0.0,0.021758976,2.0
8,8.38845062,0.043868307,0.382803291,-0.13799513900000002,-14.0,0.0018672139999999999,0.0,0.023119016000000003,2.0
9,8.36032581,0.024874847,0.421142459,-0.136110544,-14.0,0.0007177630000000001,0.0,0.024629101,2.0
45952,8.17831993,0.04612131,0.36053279,-0.133764043,-14.0,0.002518986,0.0,0.020244729,2.0
