,u,v,w,x,x bin,y,y bin,z,z bin
0,9.76419926,0.053298749000000006,-0.420466036,0.193959504,19.0,0.009325556,0.0,0.081881523,8.0
1,9.79817772,0.055334937,-0.39873725200000004,0.195827782,19.0,0.008555933,0.0,0.084349804,8.0
2,9.81639767,0.040864911,-0.4128922820000001,0.191179499,19.0,0.009805195,0.0,0.085735895,8.0
3,9.76339817,0.063041315,-0.430253923,0.19133271300000002,19.0,0.00726781,0.0,0.082446747,8.0
4,9.79420757,0.06709946,-0.393112957,0.197476983,19.0,0.005898726,0.0,0.08411414199999999,8.0
5,9.79643154,0.05565447,-0.41462799899999997,0.19135434899999998,19.0,0.007226243,0.0,0.085565023,8.0
6,9.71304417,0.072250575,-0.421772152,0.19009167,19.0,0.001262399,0.0,0.08138164099999999,8.0
7,9.81063843,0.068873055,-0.397408366,0.19428955,19.0,0.002836493,0.0,0.08680068,8.0
8,9.81924534,0.071061105,-0.391739249,0.19509013,19.0,0.00113157,0.0,0.08688099699999999,8.0
34060,9.83641338,0.065394007,-0.384901017,0.19549697600000002,19.0,0.002114092,0.0,0.088632777,8.0
