,u,v,w,x,x bin,y,y bin,z,z bin
0,9.93525505,0.09479484,1.83668864,0.092465416,9.0,0.00685983,0.0,-0.083144806,-9.0
1,9.99304962,0.073588908,1.63190961,0.09828753,9.0,0.008886036,0.0,-0.08498506300000001,-9.0
2,9.95926666,0.114186458,1.66533887,0.099454597,9.0,0.00697857,0.0,-0.083698057,-9.0
3,9.95390034,0.153148532,1.76530051,0.09603224699999999,9.0,0.004881063,0.0,-0.083320916,-9.0
4,9.84075069,0.31153506,1.94049644,0.09347488,9.0,0.000139219,0.0,-0.08053349,-9.0
5,10.0277758,0.151964456,1.618258,0.098656967,9.0,0.006054021,0.0,-0.08629885300000001,-9.0
6,10.0266314,0.236578867,1.73945379,0.095176056,9.0,0.001822076,0.0,-0.085126467,-9.0
7,9.9869957,0.283836603,1.88157916,0.09163881800000001,9.0,0.000640911,0.0,-0.083907485,-9.0
8,10.0539474,0.229594916,1.60077429,0.09955366,9.0,0.002937448,0.0,-0.08726169199999999,-9.0
106509,10.0423508,0.266322315,1.62578583,0.099646024,9.0,0.00096871,0.0,-0.08667396,-9.0
