,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
9,9,8.93546295,0.320387036,-0.013281021,-0.152192846,-16.0,0.027423008999999998,2.0,0.002166776,0.0
8,8,9.07548904,0.248871416,-0.026154444,-0.158913061,-16.0,0.027210515,2.0,0.002181497,0.0
12,47767,8.90667152,0.225513384,-0.01498474,-0.153048545,-16.0,0.020302281,2.0,0.003015786,0.0
7,7,8.98900604,0.323868483,0.010304826999999999,-0.154139996,-16.0,0.029239688,2.0,0.003805795,0.0
10,10,8.9097023,0.233921587,0.035185196,-0.153003424,-16.0,0.020732826,2.0,0.006374879,0.0
4,4,8.93078232,0.275998831,0.041307338,-0.152937606,-16.0,0.024130121,2.0,0.006375505,0.0
5,5,8.921720500000003,0.258168936,0.044141217999999996,-0.15296199900000002,-16.0,0.022663044,2.0,0.006747746,0.0
3,3,8.93698215,0.292999148,0.053607222,-0.15282642800000001,-16.0,0.025387207000000002,2.0,0.007047905,0.0
11,11,8.90639877,0.227602392,0.045631737,-0.153010994,-16.0,0.020169243,2.0,0.007154921,0.0
6,6,8.91511059,0.246116579,0.07355254900000001,-0.152967244,-16.0,0.021537498,2.0,0.008886456,0.0
1,1,8.93069267,0.27810779199999996,0.084168121,-0.15290205199999998,-16.0,0.024080752999999996,2.0,0.009295685,0.0
0,0,8.93323517,0.308577925,0.090598375,-0.152376711,-16.0,0.02613065,2.0,0.009419828,0.0
2,2,8.92039585,0.257212996,0.085135795,-0.152942151,-16.0,0.022381812,2.0,0.009570695,0.0
