,Unnamed: 0,Unnamed: 0.1,u,v,w,x,x bin,y,y bin,z,z bin
42,10,10,9.04786587,-0.003459911,-0.090810299,-0.161704898,-17.0,-0.0034727609999999996,-1.0,-0.008971939,-1.0
36,4,4,9.06725883,0.012510825,-0.09328869,-0.163768485,-17.0,-0.001833569,-1.0,-0.008877596,-1.0
58,26,75225,9.15114212,-0.032570411,-0.093365252,-0.167285442,-17.0,-0.009302173,-1.0,-0.008356782,-1.0
55,23,23,9.04283524,-0.041184183,-0.07800151400000001,-0.161046773,-17.0,-0.0077630059999999985,-1.0,-0.007720425,-1.0
43,11,11,9.046978,-0.008081684,-0.079079762,-0.16183099199999998,-17.0,-0.004141623,-1.0,-0.007692971,-1.0
49,17,17,9.07828712,-0.018072009,-0.074576035,-0.163652301,-17.0,-0.006101816,-1.0,-0.0069176590000000005,-1.0
56,24,24,9.04142284,-0.052507587,-0.061291523,-0.16104728,-17.0,-0.009285259,-1.0,-0.005932848,-1.0
35,3,3,9.02460003,0.008873016,-0.060801316,-0.161776125,-17.0,-0.001673958,-1.0,-0.005709771999999999,-1.0
44,12,12,9.08745766,-0.0034324359999999996,-0.063804209,-0.16538882300000002,-17.0,-0.004521094,-1.0,-0.005448186999999999,-1.0
50,18,18,9.11994934,-0.022125881,-0.062711306,-0.166740477,-17.0,-0.007584268000000002,-1.0,-0.005130235,-1.0
37,5,5,9.08536243,0.011372651,-0.061490499,-0.165684313,-17.0,-0.002467997,-1.0,-0.00508163,-1.0
