,Unnamed: 0,Unnamed: 0.1,u,v,w,x,x bin,y,y bin,z,z bin
25,18,18,10.1156521,-2.05907512,-0.111484297,0.057818644,5.0,0.08201094,8.0,-0.009523806999999999,-1.0
22,15,15,10.6314163,-1.77027893,-0.137538284,0.050525744,5.0,0.08852548199999999,8.0,-0.009308836,-1.0
27,20,57586,10.470740300000001,-1.96259642,-0.11101332300000001,0.050818283,5.0,0.085903719,8.0,-0.009256456,-1.0
20,13,13,9.88828468,-2.2898984,-0.073376089,0.052674078,5.0,0.08015877,8.0,-0.008771459,-1.0
10,3,3,10.6429605,-1.6749058999999995,-0.194772631,0.053543419,5.0,0.089920335,8.0,-0.008401435,-1.0
16,9,9,10.5980892,-1.73115695,-0.212762848,0.054527059,5.0,0.088921174,8.0,-0.00777532,-1.0
26,19,19,10.470953,-1.93489206,-0.169475347,0.050342597,5.0,0.08664844199999999,8.0,-0.007534454,-1.0
23,16,16,10.495886800000001,-1.84632742,-0.24200446899999997,0.057142951,5.0,0.086863741,8.0,-0.006792756,-1.0
15,8,8,10.6198616,-1.71884274,-0.255688161,0.05292723,5.0,0.089305118,8.0,-0.006331827,-1.0
19,12,12,9.80196667,-2.15779352,-0.220933825,0.059647009,5.0,0.080036007,8.0,-0.006235851999999999,-1.0
21,14,14,10.5443497,-1.8371768,-0.25694423899999996,0.051443677,5.0,0.087801948,8.0,-0.005131418,-1.0
17,10,10,10.2851315,-2.14454913,-0.207709163,0.050480299000000006,5.0,0.083965413,8.0,-0.005036767,-1.0
