,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
1,1,10.2459984,0.399197429,0.043014687,0.0954668,9.0,-0.12313973199999999,-13.0,0.000131278,0.0
12,12,10.2520809,0.372116983,0.042537697,0.096312329,9.0,-0.126736045,-13.0,0.002696887,0.0
7,7,10.2538395,0.3928740020000001,0.039564122,0.09510108099999999,9.0,-0.12507607,-13.0,0.004070967,0.0
9,9,10.261457400000001,0.379207522,0.040845003,0.094289094,9.0,-0.126539931,-13.0,0.004103618,0.0
4,4,10.2501926,0.40666008,0.03727524,0.095308572,9.0,-0.123888724,-13.0,0.005332121,0.0
6,6,10.2403431,0.383048773,0.039234534,0.098507687,9.0,-0.125796422,-13.0,0.005484685,0.0
10,10,10.2803373,0.373459816,0.040273782,0.091053739,9.0,-0.127801016,-13.0,0.005666771,0.0
0,0,10.2234955,0.427207947,0.036768548,0.098967537,9.0,-0.12001998,-13.0,0.006536156,0.0
13,13,10.2799187,0.363503397,0.040131412000000005,0.091845565,9.0,-0.128881171,-13.0,0.00698674,0.0
2,2,10.2649632,0.413752764,0.035300702,0.092270829,9.0,-0.123897113,-13.0,0.007145763,0.0
5,5,10.2349815,0.382189095,0.037635695,0.09992826,9.0,-0.126010448,-13.0,0.0075444230000000015,0.0
8,8,10.2708197,0.376706183,0.038175952,0.093109563,9.0,-0.127540976,-13.0,0.0078423,0.0
3,3,10.263286599999999,0.405811071,0.035455521000000004,0.09311758699999999,9.0,-0.124673411,-13.0,0.007847721,0.0
11,11,10.2645731,0.361862808,0.03923149,0.095164329,9.0,-0.128769234,-13.0,0.008159501999999999,0.0
14,125794,10.270467800000002,0.352487326,0.039598186,0.094571143,9.0,-0.129881471,-13.0,0.008832999000000001,0.0
