,u,v,w,x,x bin,y,y bin,z,z bin
0,9.87985706,-0.47881338,0.026145214,-0.134093761,-14.0,-0.14123512800000002,-15.0,0.009862321,0.0
1,9.88246727,-0.48016148799999997,0.007761048,-0.134066761,-14.0,-0.142054453,-15.0,0.007086448,0.0
2,9.88868523,-0.474479318,0.025174003,-0.13402125199999998,-14.0,-0.142661124,-15.0,0.009781593,0.0
3,9.890042300000001,-0.47725755,0.001320896,-0.134002879,-14.0,-0.143401071,-15.0,0.006164549,0.0
4,9.90376091,-0.467319369,0.021877075,-0.133896679,-14.0,-0.14513194599999998,-15.0,0.009394553,0.0
5,9.89842987,-0.47339689700000004,-0.001366415,-0.133933395,-14.0,-0.144794583,-15.0,0.005819507,0.0
6,9.91075134,-0.46496278,0.013724599,-0.133836836,-14.0,-0.14642302699999998,-15.0,0.00820781,0.0
7,9.92234325,-0.458028585,0.020999568,-0.133744389,-14.0,-0.14810752900000002,-15.0,0.009402042,0.0
8,9.91581345,-0.459166646,-0.018403957,-0.133788913,-14.0,-0.14796567,-15.0,0.002786781,0.0
9,9.90741539,-0.468647659,1.01e-06,-0.133859903,-14.0,-0.146193922,-15.0,0.006095571,0.0
10,9.920913699999998,-0.456132203,5.11e-05,-0.133745059,-14.0,-0.148457304,-15.0,0.005984481999999999,0.0
140247,9.92949963,-0.445366949,0.009396649,-0.133673221,-14.0,-0.149722233,-15.0,0.007273326,0.0
