,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
0,0,9.57495499,0.609217763,0.039554372,-0.145975605,-15.0,0.098702893,9.0,0.008499931,0.0
1,1,9.54865074,0.619339526,0.04210458,-0.146403149,-15.0,0.096730113,9.0,0.008232102,0.0
2,2,9.5972662,0.5741991999999999,0.005280785,-0.147980765,-15.0,0.099523664,9.0,0.004633104,0.0
3,3,9.59890366,0.5648642779999999,-0.013439216,-0.148314387,-15.0,0.09913457199999999,9.0,0.002386295,0.0
4,4,9.50523186,0.663147092,0.050847672,-0.143190473,-15.0,0.093526058,9.0,0.008734142,0.0
5,5,9.47914219,0.6489371660000001,0.047575362,-0.14603787699999998,-15.0,0.090842336,9.0,0.007758556,0.0
6,6,9.46789551,0.6971233490000001,0.057602737,-0.140954465,-15.0,0.090759441,9.0,0.009020481,0.0
7,7,9.54558372,0.629292727,-0.024877392,-0.14157393599999998,-15.0,0.09452696099999999,9.0,0.0006281069999999999,0.0
8,27026,9.49464798,0.632300675,0.010249678,-0.14624767,-15.0,0.091448173,9.0,0.003405286,0.0
0,0,9.59756279,0.5439212920000001,-0.050060667,-0.14969733400000002,-15.0,0.098032631,9.0,-0.0021752779999999997,-1.0
1,1,9.57023335,0.601278245,-0.066531979,-0.14195302099999998,-15.0,0.095293053,9.0,-0.00391094,-1.0
2,2,9.55680466,0.610523939,-0.048128732,-0.142443955,-15.0,0.094769046,9.0,-0.002023975,-1.0
3,3,9.53137684,0.6070959570000001,-0.030450912000000007,-0.145682722,-15.0,0.093340844,9.0,-0.000746516,-1.0
4,4,9.54077625,0.57855773,-0.073992334,-0.147113413,-15.0,0.092884295,9.0,-0.005926683,-1.0
5,5,9.53199768,0.587818086,-0.054341725999999986,-0.147341222,-15.0,0.092752993,9.0,-0.003769479,-1.0
6,6,9.53332806,0.563253641,-0.10371162,-0.148367226,-15.0,0.091462091,9.0,-0.009757082,-1.0
7,30522,9.53350735,0.5571043489999999,-0.087506183,-0.149424806,-15.0,0.091502912,9.0,-0.00774677,-1.0
