,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
0,0,10.305682199999998,0.19986461100000005,-1.82104468,-0.06031537400000001,-7.0,0.007191761999999998,0.0,-0.100610539,-11.0
1,1,10.2935934,0.165071324,-1.78696215,-0.060646042000000004,-7.0,0.004621439000000001,0.0,-0.10173599400000001,-11.0
2,2,10.2520237,0.13123890800000002,-1.80725157,-0.061112341,-7.0,0.002486136,0.0,-0.101142816,-11.0
3,3,10.234094599999999,0.10099018400000001,-1.83643293,-0.060827337,-7.0,0.000486657,0.0,-0.10052497699999999,-11.0
4,4,10.3026018,0.225866824,-1.74911511,-0.061719425,-7.0,0.008882345,0.0,-0.102162153,-11.0
5,5,10.2959023,0.19268108899999997,-1.74529457,-0.061512113,-7.0,0.006490378000000001,0.0,-0.10254387599999999,-11.0
6,6,10.0958109,0.146147728,-1.6579423,-0.06781210000000001,-7.0,0.004119166,0.0,-0.103236996,-11.0
7,7,10.178764300000001,0.175892651,-1.63601148,-0.066119745,-7.0,0.005680964,0.0,-0.104341559,-11.0
8,121299,10.3235798,0.119854048,-1.64468646,-0.061069049000000014,-7.0,0.000672031,0.0,-0.106200919,-11.0
0,0,10.0740814,0.046905119,-1.7332077,-0.066082031,-7.0,-0.002747726,-1.0,-0.102120601,-11.0
1,1,10.3274059,0.09044221,-1.67178738,-0.060196463,-7.0,-0.001414753,-1.0,-0.10585170199999999,-11.0
2,2,10.159331300000002,0.006834172,-1.64783263,-0.064222083,-7.0,-0.006500894,-1.0,-0.105628744,-11.0
3,3,9.94281864,-0.039875027,-1.63870847,-0.069946982,-7.0,-0.008529496999999999,-1.0,-0.104133062,-11.0
4,124899,10.1497383,-0.008343825,-1.4995513,-0.066188335,-7.0,-0.008022035,-1.0,-0.109477706,-11.0
