,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
0,0,9.81149769,0.163175896,1.48531842,-0.07861588900000001,-8.0,0.008739526999999999,0.0,0.10104619,10.0
1,1,10.0114155,0.153845608,1.48874569,-0.071627542,-8.0,0.008101816999999999,0.0,0.104326904,10.0
2,2,9.84399033,0.128827497,1.47625279,-0.07772938900000001,-8.0,0.006944924,0.0,0.101962864,10.0
3,3,9.98987579,0.11485028300000001,1.47131813,-0.073018834,-8.0,0.00617137,0.0,0.104546733,10.0
4,4,9.84824562,0.100771479,1.47706997,-0.077408671,-8.0,0.005388674,0.0,0.102174133,10.0
5,5,9.98594952,0.08203853700000001,1.46043169,-0.07321997,-8.0,0.004506596,0.0,0.10490053099999999,10.0
6,6,9.85603714,0.06408436599999999,1.47798228,-0.076931052,-8.0,0.003354262,0.0,0.102489926,10.0
7,7,9.98477364,0.053512175,1.45091915,-0.073256135,-8.0,0.003061142,0.0,0.10524850300000001,10.0
8,8,9.89370632,0.026677862000000004,1.45846212,-0.076161914,-8.0,0.001520694,0.0,0.103730582,10.0
9,9,9.81912231,0.029084988,1.53135276,-0.076417737,-8.0,0.000668117,0.0,0.10069155699999999,10.0
10,39296,9.97795486,0.010734361,1.44087625,-0.07353463,-8.0,0.0008364189999999999,0.0,0.105590694,10.0
0,0,10.001187300000002,0.010667201,1.52598345,-0.07023385900000001,-8.0,-0.00024765,-1.0,0.10417264,10.0
1,1,9.85616589,0.00631395,1.48499072,-0.076553412,-8.0,-8.49e-05,-1.0,0.10225203599999999,10.0
2,2,9.98748398,-0.060553521,1.41767395,-0.073022924,-8.0,-0.002998068,-1.0,0.107586145,10.0
3,3,9.99312592,-0.018197686,1.54640853,-0.07004740799999999,-8.0,-0.0021003289999999997,-1.0,0.103758559,10.0
4,4,9.8931427,-0.001730118,1.56845427,-0.073027551,-8.0,-0.0014349920000000002,-1.0,0.101543449,10.0
5,5,9.99047661,-0.09528704699999999,1.42251754,-0.072673343,-8.0,-0.00524707,-1.0,0.10889525,10.0
6,6,9.88937664,-0.058154069,1.50307524,-0.074776188,-8.0,-0.003931894,-1.0,0.102649726,10.0
7,7,9.88356018,-0.043761253,1.55718398,-0.073332109,-8.0,-0.003598312,-1.0,0.10186599199999999,10.0
8,8,9.99224472,-0.111401781,1.4739448999999998,-0.071079969,-8.0,-0.006524878,-1.0,0.106809527,10.0
9,9,9.98837471,-0.115992203,1.43929267,-0.07231760000000001,-8.0,-0.006664621999999999,-1.0,0.108879708,10.0
10,10,9.97124004,-0.129017636,1.43685353,-0.07336303599999999,-8.0,-0.008424358,-1.0,0.108204015,10.0
11,11,9.96702862,-0.135617018,1.53222501,-0.07102152,-8.0,-0.008428793,-1.0,0.10446968699999999,10.0
12,47445,9.91807175,-0.132458553,1.54711032,-0.072338149,-8.0,-0.008623164000000001,-1.0,0.102533124,10.0
