,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
0,0,6.98740482,-1.17845225,-0.603401124,0.110854745,11.0,0.062255435,6.0,0.006750557,0.0
1,1,7.71229887,-1.14464355,-0.568201423,0.115382686,11.0,0.064800099,6.0,0.005720854,0.0
2,2,8.72198009,-1.21232951,-0.546255112,0.114809334,11.0,0.069545046,6.0,0.003352338,0.0
3,3,7.47252464,-1.57913828,-0.490351349,0.112159811,11.0,0.060656086,6.0,0.00011402,0.0
4,4,8.3097086,-1.37493098,-0.510182321,0.11150333300000001,11.0,0.066194646,6.0,0.0019015829999999999,0.0
5,44444,8.45609188,-1.4525764,-0.484579206,0.112638041,11.0,0.06606549,6.0,0.0003775330000000001,0.0
0,0,8.65791607,-1.5576998,-0.456050873,0.111440815,11.0,0.066244967,6.0,-0.001336727,-1.0
1,1,8.01577282,-1.56489348,-0.414689779,0.116607815,11.0,0.062378935999999996,6.0,-0.0022607589999999998,-1.0
2,2,8.95955849,-1.5654192,-0.42887944,0.115015067,11.0,0.067419589,6.0,-0.003025007,-1.0
3,3,8.52686214,-1.51044643,-0.37363392100000004,0.118815266,11.0,0.065194592,6.0,-0.003936599,-1.0
4,4,9.42047882,-1.58971417,-0.412404478,0.113700099,11.0,0.06972383,6.0,-0.004154577,-1.0
5,5,8.84803772,-1.55908263,-0.327209622,0.11756920800000001,11.0,0.066400342,6.0,-0.0058376140000000005,-1.0
6,6,8.44869041,-1.90066886,-0.310205758,0.11353413,11.0,0.060420532,6.0,-0.005896651,-1.0
7,7,8.48395348,-1.72928882,-0.316053659,0.11541456,11.0,0.062634707,6.0,-0.005788086,-1.0
8,51060,8.86473751,-1.78726745,-0.290410608,0.113994241,11.0,0.06402899299999999,6.0,-0.007097694,-1.0
