,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
0,0,9.995574,-0.012566731,-0.455687135,0.163263306,16.0,0.008808691,0.0,0.10949143,10.0
1,1,9.98643112,-0.0033227659999999996,-0.46690943799999995,0.162474811,16.0,0.0069458359999999995,0.0,0.108287215,10.0
2,2,9.97243786,0.001120895,-0.496527523,0.160927266,16.0,0.007305681,0.0,0.104834542,10.0
3,3,9.97555542,0.02121274,-0.442488015,0.167845756,16.0,0.0031492240000000004,0.0,0.108713537,10.0
4,4,9.9630127,0.030510549,-0.474493027,0.163093954,16.0,0.002174138,0.0,0.106780186,10.0
5,5,9.97046089,0.029237747,-0.4486765270000001,0.16627070300000002,16.0,0.001559888,0.0,0.10892292099999999,10.0
6,39319,9.95287323,0.043646611,-0.467837781,0.164810166,16.0,0.000355916,0.0,0.106595531,10.0
0,0,9.96288872,0.049408309000000004,-0.458120435,0.163877532,16.0,-0.001975025,-1.0,0.109478906,10.0
1,1,9.94417667,0.08487096400000001,-0.460575581,0.166545928,16.0,-0.007467992,-1.0,0.106601872,10.0
2,2,9.95090675,0.083452798,-0.43173933,0.169193208,16.0,-0.008486866,-1.0,0.109101944,10.0
3,47450,9.937253,0.093712725,-0.50563693,0.164183617,16.0,-0.007615359,-1.0,0.100625798,10.0
