,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
0,0,9.1315012,-0.08887963,3.0791564,0.056141987,5.0,0.009714118,0.0,-0.07194489999999999,-8.0
1,1,8.93669128,0.030151587,2.98767781,0.057496183,5.0,0.007430885,0.0,-0.071776785,-8.0
2,2,9.79349518,0.045870993,2.86342549,0.053321332,5.0,0.006963871999999999,0.0,-0.076629847,-8.0
3,3,9.92324352,0.073077738,2.74184632,0.059493177,5.0,0.008054278,0.0,-0.076755688,-8.0
4,4,9.88726425,0.120260336,2.7958231,0.051721022,5.0,0.004816371,0.0,-0.078247398,-8.0
5,5,8.70401859,0.315715045,2.75939798,0.058777954,5.0,0.0016949789999999999,0.0,-0.071963318,-8.0
6,89830,9.83074951,0.251906604,2.64177275,0.055271909,5.0,0.00275664,0.0,-0.078816705,-8.0
0,0,8.66389465,0.568979621,2.78567505,0.053888515,5.0,-0.006403645,-1.0,-0.072569504,-8.0
1,1,8.92474747,0.385648608,2.73572111,0.05507423,5.0,-0.000927906,-1.0,-0.074286148,-8.0
2,2,9.36393166,0.44710958,2.65886593,0.058441352,5.0,-0.002270411,-1.0,-0.07575109599999999,-8.0
3,92208,9.79446507,0.418012142,2.58202147,0.058703892,5.0,-0.001284145,-1.0,-0.078232497,-8.0
