,u,v,w,x,x bin,y,y bin,z,z bin
0,9.60542107,-1.15019357,-0.576654971,0.098738715,9.0,0.080653459,8.0,0.009441707,0.0
1,10.131990400000001,-1.26353526,-0.47156867399999997,0.091666043,9.0,0.08473169800000001,8.0,0.00642914,0.0
2,10.1338358,-1.11433089,-0.406843871,0.096823007,9.0,0.08991808400000001,8.0,0.006321584,0.0
3,10.1648102,-1.1558758,-0.39825946100000004,0.094148465,9.0,0.089984201,8.0,0.005621809,0.0
4,10.1596069,-1.20492625,-0.427652836,0.093297541,9.0,0.087094978,8.0,0.005910548000000001,0.0
5,10.1749229,-1.19348049,-0.415424556,0.09270460900000001,9.0,0.08788177400000001,8.0,0.0057170780000000004,0.0
6,10.1814108,-1.20351148,-0.388402343,0.092827715,9.0,0.088796452,8.0,0.004292714,0.0
7,10.1872978,-1.21875417,-0.385484725,0.09236189,9.0,0.08839915,8.0,0.003883673,0.0
8,10.219265,-1.22145414,-0.344794005,0.091222614,9.0,0.089936659,8.0,0.002201387,0.0
9,10.117121699999998,-1.26748586,-0.395883739,0.09630817900000001,9.0,0.08680708699999999,8.0,0.002635969,0.0
10,10.1978302,-1.26289427,-0.35635498200000004,0.091932468,9.0,0.08830658400000001,8.0,0.001669989,0.0
48818,10.1782103,-1.3053236000000001,-0.35392165200000003,0.092848674,9.0,0.08729758900000001,8.0,0.00047671300000000003,0.0
