,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,u,v,w,x,x bin,y,y bin,z,z bin
0,44,21,21,8.97638512,1.89642942,-0.219787538,-0.0912247,-10.0,0.075874418,7.0,0,-1.0
1,51,28,28,8.88683224,1.9094497,-0.2097397,-0.091999427,-10.0,0.073315255,7.0,0,-1.0
2,43,20,20,8.88515091,1.70150805,-0.220884442,-0.097929992,-10.0,0.07452353099999999,7.0,0,-1.0
3,34,11,11,9.04120541,1.84203696,-0.223402008,-0.091911539,-10.0,0.07801862799999999,7.0,0,-1.0
4,53,30,30,8.77757835,1.76989198,-0.204857633,-0.097356424,-10.0,0.071134746,7.0,0,-1.0
5,39,16,16,8.94922543,1.75426269,-0.209624156,-0.09553717099999999,-10.0,0.07603053,7.0,0,-1.0
6,54,31,59707,8.76399612,1.89368558,-0.181493849,-0.093990415,-10.0,0.07021746,7.0,0,-1.0
7,49,26,26,8.92334557,1.96029675,-0.18604213,-0.090071634,-10.0,0.074410781,7.0,0,-1.0
8,25,2,2,9.082771300000001,1.75020552,-0.199973285,-0.093827464,-10.0,0.079834022,7.0,0,-1.0
9,46,23,23,8.92933655,1.8552227,-0.17206391699999998,-0.092773818,-10.0,0.074970961,7.0,0,-1.0
10,29,6,6,9.09315777,1.86192119,-0.182756826,-0.09045954099999999,-10.0,0.079488538,7.0,0,-1.0
11,52,29,29,8.74560738,1.74310768,-0.138546586,-0.098206982,-10.0,0.070626855,7.0,0,-1.0
12,37,14,14,8.97663498,1.74322057,-0.150746405,-0.095191717,-10.0,0.07706546,7.0,0,-1.0
13,47,24,24,8.86925125,1.7821634999999998,-0.134731889,-0.095444381,-10.0,0.073864974,7.0,0,-1.0
14,26,3,3,9.05998898,1.68858409,-0.147601858,-0.095605463,-10.0,0.07975370400000001,7.0,0,-1.0
15,41,18,18,8.97255898,1.84501624,-0.12654838,-0.09226077099999999,-10.0,0.076399393,7.0,0,-1.0
16,40,17,17,8.89952374,1.6483953000000002,-0.133137181,-0.099326327,-10.0,0.07501798900000001,7.0,0,-1.0
17,50,27,27,8.80363655,1.78109884,-0.112217151,-0.096235432,-10.0,0.072106645,7.0,0,-1.0
18,33,10,10,9.02147484,1.76823044,-0.128076881,-0.09377910199999999,-10.0,0.078243725,7.0,0,-1.0
